Asset1,Asset2,Correlation
CTC_returns,CTC_returns,0.0
CTC_returns,MINA_returns,0.0
CTC_returns,DASH_returns,0.31842182164042265
CTC_returns,SFP_returns,0.0
CTC_returns,BabyDoge_returns,0.0
CTC_returns,SNX_returns,0.0
CTC_returns,TFUEL_returns,0.0
CTC_returns,DCR_returns,0.0
CTC_returns,GLM_returns,0.0
CTC_returns,MX_returns,0.0
CTC_returns,ZIL_returns,0.30065152091116626
CTC_returns,BLUR_returns,0.0
CTC_returns,ROSE_returns,0.0
CTC_returns,CKB_returns,0.0
CTC_returns,TRAC_returns,0.0
CTC_returns,QTUM_returns,0.0
CTC_returns,ORDI_returns,0.0
CTC_returns,LPT_returns,0.0
CTC_returns,MASK_returns,0.0
CTC_returns,ASTR_returns,0.0
CTC_returns,ZRX_returns,0.0
CTC_returns,VTHO_returns,0.0
CTC_returns,ACH_returns,0.0
CTC_returns,BAT_returns,0.0
CTC_returns,CHEEL_returns,0.0
CTC_returns,CHEX_returns,0.0
CTC_returns,SNEK_returns,0.0
CTC_returns,BORG_returns,0.0
CTC_returns,KOGE_returns,0.0
CTC_returns,IOTX_returns,0.0
CTC_returns,CELO_returns,0.0
CTC_returns,GAS_returns,0.0
CTC_returns,ONE_returns,0.0
CTC_returns,ID_returns,0.0
CTC_returns,SUSHI_returns,0.0
CTC_returns,CSPR_returns,0.0
CTC_returns,HOT_returns,0.0
CTC_returns,SC_returns,0.0
CTC_returns,YFI_returns,0.0
CTC_returns,RVN_returns,0.0
CTC_returns,COW_returns,-0.002018718763748409
CTC_returns,ANKR_returns,0.27687913965072886
CTC_returns,GOMINING_returns,0.0
CTC_returns,XCH_returns,0.0
CTC_returns,DGB_returns,0.0
CTC_returns,T_returns,0.0
CTC_returns,WOO_returns,0.0
CTC_returns,ELF_returns,0.0
CTC_returns,EUL_returns,0.0
CTC_returns,ORCA_returns,0.0
CTC_returns,KDA_returns,0.0
CTC_returns,OSMO_returns,0.25964367720999004
CTC_returns,GMT_returns,0.0
CTC_returns,SNT_returns,0.0
CTC_returns,GMX_returns,0.0
CTC_returns,ENJ_returns,0.0
CTC_returns,XYO_returns,0.0
CTC_returns,POLYX_returns,0.0
CTC_returns,ZIG_returns,0.0
CTC_returns,ZEN_returns,0.0
CTC_returns,COTI_returns,0.0
CTC_returns,WEMIX_returns,0.0
CTC_returns,SKL_returns,0.0
CTC_returns,LCX_returns,0.0
CTC_returns,WAVES_returns,0.0
CTC_returns,CVC_returns,0.0
CTC_returns,SWFTC_returns,0.0
CTC_returns,LUNA_returns,0.0
CTC_returns,HIVE_returns,0.0
CTC_returns,RLB_returns,0.0
CTC_returns,LRC_returns,0.0
CTC_returns,DAG_returns,0.0
CTC_returns,ONT_returns,0.0
CTC_returns,TRB_returns,0.0
CTC_returns,XNO_returns,0.3542925355451108
CTC_returns,DLC_returns,0.0
CTC_returns,METIS_returns,0.0
CTC_returns,ICX_returns,0.0
CTC_returns,MYTH_returns,0.0
CTC_returns,MPLX_returns,0.0
CTC_returns,SXP_returns,0.0
CTC_returns,XVG_returns,0.0
CTC_returns,PEOPLE_returns,0.0
CTC_returns,AWE_returns,0.0
CTC_returns,REQ_returns,0.0
CTC_returns,STORJ_returns,0.0
CTC_returns,BAND_returns,0.0
CTC_returns,WMTX_returns,0.0
CTC_returns,CFG_returns,0.0
CTC_returns,HONEY_returns,0.20774365715179854
CTC_returns,PRO_returns,0.0
CTC_returns,PRIME_returns,0.0
CTC_returns,VVS_returns,0.0
CTC_returns,CPOOL_returns,0.0
CTC_returns,YGG_returns,0.0
CTC_returns,SSV_returns,0.0
CTC_returns,CETUS_returns,0.0
CTC_returns,CGPT_returns,0.0
CTC_returns,STIK_returns,0.0
CTC_returns,PHA_returns,0.0
CTC_returns,XVS_returns,0.0
CTC_returns,KUB_returns,0.4075633179443018
CTC_returns,BICO_returns,0.0
CTC_returns,UMA_returns,0.0
CTC_returns,WAXP_returns,0.0
CTC_returns,XPR_returns,0.0
CTC_returns,RPL_returns,0.0
CTC_returns,PUNDIX_returns,0.0
CTC_returns,FLUX_returns,0.0
CTC_returns,BORA_returns,0.0
