Asset1,Asset2,Correlation
DASH_returns,DASH_returns,1.0
DASH_returns,BabyDoge_returns,0.20352645100031924
DASH_returns,SNX_returns,0.3747081145472585
DASH_returns,GLM_returns,0.2907254962996439
DASH_returns,SFP_returns,0.4019878594244261
DASH_returns,TFUEL_returns,0.31030390993997864
DASH_returns,BLUR_returns,0.31370309656370055
DASH_returns,ROSE_returns,0.4483081462216655
DASH_returns,ZIL_returns,0.6897364875490369
DASH_returns,CKB_returns,0.2226917883574181
DASH_returns,QTUM_returns,0.5361536808179505
DASH_returns,MX_returns,0.26260496839751707
DASH_returns,ORDI_returns,0.18660661329889236
DASH_returns,ASTR_returns,0.4141310924332038
DASH_returns,ACH_returns,0.3442971004887292
DASH_returns,ZRX_returns,0.373529439947645
DASH_returns,DCR_returns,0.48541772490868823
DASH_returns,LPT_returns,0.3209835360666468
DASH_returns,CELO_returns,0.4370656549475003
DASH_returns,VTHO_returns,0.2849087089561905
DASH_returns,BAT_returns,0.6498829018084001
DASH_returns,TRAC_returns,0.09755999015531167
DASH_returns,CHEEL_returns,0.21145197451452497
DASH_returns,SNEK_returns,0.19842028295006264
DASH_returns,ID_returns,0.3569880385151505
DASH_returns,BORG_returns,0.2101029830570794
DASH_returns,GAS_returns,0.2511988729650929
DASH_returns,ONE_returns,0.5043223601587907
DASH_returns,CHEX_returns,0.08374190508592043
DASH_returns,HOT_returns,0.5113834496546693
DASH_returns,SUSHI_returns,0.4250909706722361
DASH_returns,CSPR_returns,0.2077933065384429
DASH_returns,DGB_returns,0.35495196172807253
DASH_returns,ANKR_returns,0.5420095867885114
DASH_returns,YFI_returns,0.42819373555643
DASH_returns,RVN_returns,0.47743579425820204
DASH_returns,SC_returns,0.30221486591797175
DASH_returns,ETHW_returns,0.30391995675876554
DASH_returns,KDA_returns,0.45639238789729775
DASH_returns,ELF_returns,0.20851006482470746
DASH_returns,IOTX_returns,0.3543157513046181
DASH_returns,XCH_returns,0.4257292660337646
DASH_returns,T_returns,0.38356605290411466
DASH_returns,OSMO_returns,0.3378011400592381
DASH_returns,GMT_returns,0.3697678110845124
DASH_returns,PEOPLE_returns,0.22196074462895626
DASH_returns,XYO_returns,0.20473278293887961
DASH_returns,XEM_returns,0.3512558671285572
DASH_returns,WAVES_returns,0.32203385982850435
DASH_returns,EUL_returns,0.18484809555219142
DASH_returns,POLYX_returns,0.28128443305686496
DASH_returns,WOO_returns,0.4019276536136142
DASH_returns,ENJ_returns,0.5469468947114089
DASH_returns,GOMINING_returns,0.173705572613902
DASH_returns,COTI_returns,0.35310129683864033
DASH_returns,GMX_returns,0.28113312241904875
DASH_returns,ORCA_returns,0.09430157188846348
DASH_returns,COW_returns,0.11216045567360233
DASH_returns,ZEN_returns,0.4715078406887771
DASH_returns,KOGE_returns,0.21962241882871647
DASH_returns,LRC_returns,0.5276284856184799
DASH_returns,SKL_returns,0.3334984770854031
DASH_returns,RLB_returns,0.14266426816291786
DASH_returns,CETUS_returns,0.27242652614448465
DASH_returns,WEMIX_returns,0.2578699153004102
DASH_returns,LUNA_returns,0.3951529760594436
DASH_returns,ZIG_returns,0.055550708497876286
DASH_returns,ONT_returns,0.5040937587694593
DASH_returns,MPLX_returns,0.0876973097390674
DASH_returns,DAG_returns,0.2559906373789751
DASH_returns,SWFTC_returns,0.08166789270827622
DASH_returns,PRIME_returns,0.10487571283309538
DASH_returns,CVC_returns,0.28440807173321614
DASH_returns,STPT_returns,0.27397969562351004
DASH_returns,SXP_returns,0.456983847399544
DASH_returns,METIS_returns,0.18359017139582254
DASH_returns,LCX_returns,0.14389060162995065
